constructorId,constructorRef,name,nationality,url,color
189,"eagle-climax","Eagle-Climax","American","http://en.wikipedia.org/wiki/Anglo_American_Racers","#0074D9"
190,"eagle-weslake","Eagle-Weslake","American","http://en.wikipedia.org/wiki/Anglo_American_Racers","#0074D9"
191,"brabham-repco","Brabham-Repco","British","http://en.wikipedia.org/wiki/Brabham","#0074D9"
192,"cooper-ferrari","Cooper-Ferrari","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
193,"cooper-ats","Cooper-ATS","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
194,"mclaren-brm","McLaren-BRM","British","http://en.wikipedia.org/wiki/McLaren_(racing)","#0074D9"
195,"cooper-brm","Cooper-BRM","British","http://en.wikipedia.org/wiki/Cooper_Car_Company","#0074D9"
196,"matra-ford","Matra-Ford","French","http://en.wikipedia.org/wiki/Matra","#4F7FAC"
197,"brm-ford","BRM-Ford","British","http://en.wikipedia.org/wiki/BRM","#0074D9"
198,"mclaren-alfa_romeo","McLaren-Alfa Romeo","British","http://en.wikipedia.org/wiki/McLaren_(racing)","#0074D9"
199,"march-alfa_romeo","March-Alfa Romeo","British","http://en.wikipedia.org/wiki/March_Engineering","#0074D9"
200,"march-ford","March-Ford","British","http://en.wikipedia.org/wiki/March_Engineering","#0074D9"
201,"lotus-pw","Lotus-Pratt &amp; Whitney","British","http://en.wikipedia.org/wiki/Team_Lotus","#0074D9"
202,"shadow-ford","Shadow-Ford","British","http://en.wikipedia.org/wiki/Shadow_Racing_Cars","#0074D9"
203,"shadow-matra","Shadow-Matra","British","http://en.wikipedia.org/wiki/Shadow_Racing_Cars","#0074D9"
204,"brabham-alfa_romeo","Brabham-Alfa Romeo","British","http://en.wikipedia.org/wiki/Brabham","#0074D9"
205,"lotus_racing","Lotus","Malaysian","http://en.wikipedia.org/wiki/Lotus_Racing","#0074D9"
206,"marussia","Marussia","Russian","http://en.wikipedia.org/wiki/Marussia_F1","#0074D9"
207,"caterham","Caterham","Malaysian","http://en.wikipedia.org/wiki/Caterham_F1","#0074D9"
208,"lotus_f1","Lotus F1","British","http://en.wikipedia.org/wiki/Lotus_F1","#8DD17D"
209,"manor","Manor Marussia","British","http://en.wikipedia.org/wiki/Manor_Motorsport","#0074D9"
210,"haas","Haas F1 Team","American","http://en.wikipedia.org/wiki/Haas_F1_Team","#0074D9"
211,"racing_point","Racing Point","British","http://en.wikipedia.org/wiki/Racing_Point_F1_Team","#0074D9"
213,"alphatauri","AlphaTauri","Italian","http://en.wikipedia.org/wiki/Scuderia_AlphaTauri","#0074D9"
214,"alpine","Alpine F1 Team","French","http://en.wikipedia.org/wiki/Alpine_F1_Team","#0074D9"
